economy;region_id;partner;region_id;fta_name;proposed;fa_signed;negotiations_launched;signed;in_force;Discontinued;Type;Extra/Intra
Nauru;4;Cook Islands;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Nauru;4;Fiji;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Nauru;4;Kiribati;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Nauru;4;Marshall Islands;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Nauru;4;Micronesia, Federated States of;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Nauru;4;Niue;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Nauru;4;Palau;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Nauru;4;Papua New Guinea;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Nauru;4;Samoa;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Nauru;4;Solomon Islands;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Nauru;4;Tonga;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Nauru;4;Tuvalu;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Nauru;4;Vanuatu;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Niue;4;Cook Islands;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Niue;4;Fiji;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Niue;4;Kiribati;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Niue;4;Marshall Islands;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Niue;4;Micronesia, Federated States of;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Niue;4;Nauru;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Niue;4;Palau;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Niue;4;Papua New Guinea;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Niue;4;Samoa;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Niue;4;Solomon Islands;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Niue;4;Tonga;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Niue;4;Tuvalu;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Niue;4;Vanuatu;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Palau;4;Cook Islands;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Palau;4;Fiji;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Palau;4;Kiribati;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Palau;4;Marshall Islands;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Palau;4;Micronesia, Federated States of;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Palau;4;Nauru;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Palau;4;Niue;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Palau;4;Papua New Guinea;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Palau;4;Samoa;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Palau;4;Solomon Islands;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Palau;4;Tonga;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Palau;4;Tuvalu;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Palau;4;Vanuatu;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Papua New Guinea;4;Cook Islands;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Papua New Guinea;4;Fiji;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Papua New Guinea;4;Kiribati;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Papua New Guinea;4;Marshall Islands;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Papua New Guinea;4;Micronesia, Federated States of;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Papua New Guinea;4;Nauru;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Papua New Guinea;4;Niue;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Papua New Guinea;4;Palau;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Papua New Guinea;4;Samoa;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Papua New Guinea;4;Solomon Islands;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Papua New Guinea;4;Tonga;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Papua New Guinea;4;Tuvalu;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Papua New Guinea;4;Vanuatu;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Samoa;4;Cook Islands;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Samoa;4;Fiji;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Samoa;4;Kiribati;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Samoa;4;Marshall Islands;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Samoa;4;Micronesia, Federated States of;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Samoa;4;Nauru;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Samoa;4;Niue;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Samoa;4;Palau;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Samoa;4;Papua New Guinea;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Samoa;4;Solomon Islands;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Samoa;4;Tonga;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Samoa;4;Tuvalu;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Samoa;4;Vanuatu;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Solomon Islands;4;Cook Islands;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Solomon Islands;4;Fiji;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Solomon Islands;4;Kiribati;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Solomon Islands;4;Marshall Islands;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Solomon Islands;4;Micronesia, Federated States of;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Solomon Islands;4;Nauru;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Solomon Islands;4;Niue;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Solomon Islands;4;Palau;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Solomon Islands;4;Papua New Guinea;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Solomon Islands;4;Samoa;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Solomon Islands;4;Tonga;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Solomon Islands;4;Tuvalu;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Solomon Islands;4;Vanuatu;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Tonga;4;Cook Islands;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Tonga;4;Fiji;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Tonga;4;Kiribati;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Tonga;4;Marshall Islands;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Tonga;4;Micronesia, Federated States of;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Tonga;4;Nauru;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Tonga;4;Niue;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Tonga;4;Palau;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Tonga;4;Papua New Guinea;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Tonga;4;Samoa;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Tonga;4;Solomon Islands;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Tonga;4;Tuvalu;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Tonga;4;Vanuatu;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Tuvalu;4;Cook Islands;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Tuvalu;4;Fiji;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Tuvalu;4;Kiribati;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Tuvalu;4;Marshall Islands;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Tuvalu;4;Micronesia, Federated States of;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Tuvalu;4;Nauru;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Tuvalu;4;Niue;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Tuvalu;4;Palau;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Tuvalu;4;Papua New Guinea;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Tuvalu;4;Samoa;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Tuvalu;4;Solomon Islands;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Tuvalu;4;Tonga;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Tuvalu;4;Vanuatu;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Vanuatu;4;Cook Islands;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Vanuatu;4;Fiji;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Vanuatu;4;Kiribati;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Vanuatu;4;Marshall Islands;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Vanuatu;4;Micronesia, Federated States of;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Vanuatu;4;Nauru;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Vanuatu;4;Niue;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Vanuatu;4;Palau;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Vanuatu;4;Papua New Guinea;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Vanuatu;4;Samoa;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Vanuatu;4;Solomon Islands;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Vanuatu;4;Tonga;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Vanuatu;4;Tuvalu;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Mexico;6;Singapore;3;Singapore-Mexico Free Trade Agreement;1999;;2000;;;;Bilateral;Extra
Singapore;3;Mexico;6;Singapore-Mexico Free Trade Agreement;1999;;2000;;;;Bilateral;Extra
Iceland;6;Singapore;3;Singapore-European Free Trade Association Free Trade Agreement;2000;;2001;2002;2003;;Plurilateral;Extra
Liechtenstein;6;Singapore;3;Singapore-European Free Trade Association Free Trade Agreement;2000;;2001;2002;2003;;Plurilateral;Extra
Norway;6;Singapore;3;Singapore-European Free Trade Association Free Trade Agreement;2000;;2001;2002;2003;;Plurilateral;Extra
Switzerland;6;Singapore;3;Singapore-European Free Trade Association Free Trade Agreement;2000;;2001;2002;2003;;Plurilateral;Extra
Singapore;3;Iceland;6;Singapore-European Free Trade Association Free Trade Agreement;2000;;2001;2002;2003;;Plurilateral;Extra
Singapore;3;Liechtenstein;6;Singapore-European Free Trade Association Free Trade Agreement;2000;;2001;2002;2003;;Plurilateral;Extra
Singapore;3;Norway;6;Singapore-European Free Trade Association Free Trade Agreement;2000;;2001;2002;2003;;Plurilateral;Extra
Singapore;3;Switzerland;6;Singapore-European Free Trade Association Free Trade Agreement;2000;;2001;2002;2003;;Plurilateral;Extra
Iceland;6;Liechtenstein;6;Singapore-European Free Trade Association Free Trade Agreement;2000;;2001;2002;2003;;Plurilateral;Extra
Iceland;6;Norway;6;Singapore-European Free Trade Association Free Trade Agreement;2000;;2001;2002;2003;;Plurilateral;Extra
Iceland;6;Switzerland;6;Singapore-European Free Trade Association Free Trade Agreement;2000;;2001;2002;2003;;Plurilateral;Extra
Liechtenstein;6;Iceland;6;Singapore-European Free Trade Association Free Trade Agreement;2000;;2001;2002;2003;;Plurilateral;Extra
Liechtenstein;6;Norway;6;Singapore-European Free Trade Association Free Trade Agreement;2000;;2001;2002;2003;;Plurilateral;Extra
Liechtenstein;6;Switzerland;6;Singapore-European Free Trade Association Free Trade Agreement;2000;;2001;2002;2003;;Plurilateral;Extra
Norway;6;Iceland;6;Singapore-European Free Trade Association Free Trade Agreement;2000;;2001;2002;2003;;Plurilateral;Extra
Norway;6;Liechtenstein;6;Singapore-European Free Trade Association Free Trade Agreement;2000;;2001;2002;2003;;Plurilateral;Extra
Norway;6;Switzerland;6;Singapore-European Free Trade Association Free Trade Agreement;2000;;2001;2002;2003;;Plurilateral;Extra
Switzerland;6;Iceland;6;Singapore-European Free Trade Association Free Trade Agreement;2000;;2001;2002;2003;;Plurilateral;Extra
Switzerland;6;Liechtenstein;6;Singapore-European Free Trade Association Free Trade Agreement;2000;;2001;2002;2003;;Plurilateral;Extra
Switzerland;6;Norway;6;Singapore-European Free Trade Association Free Trade Agreement;2000;;2001;2002;2003;;Plurilateral;Extra
United States ;6;Singapore;3;Singapore-United States Free Trade Agreement;2000;;2000;2003;2004;;Bilateral;Extra
Singapore;3;United States ;6;Singapore-United States Free Trade Agreement;2000;;2000;2003;2004;;Bilateral;Extra
United States ;6;Brunei Darussalam;3;Brunei Darussalam-United States Free Trade Agreement;2002;;;;;;Bilateral;Extra
Brunei Darussalam;3;United States ;6;Brunei Darussalam-United States Free Trade Agreement;2002;;;;;;Bilateral;Extra
Mexico;6;New Zealand;7;New Zealand-Mexico Free Trade Agreement;2002;;;;;;Bilateral;Extra
New Zealand;7;Mexico;6;New Zealand-Mexico Free Trade Agreement;2002;;;;;;Bilateral;Extra
United States ;6;Sri Lanka;5;Sri Lanka-United States Free Trade Agreement;2002;;;;;;Bilateral;Extra
Sri Lanka;5;United States ;6;Sri Lanka-United States Free Trade Agreement;2002;;;;;;Bilateral;Extra
United States ;6;Taipei,China;2;Taipei,China-United States Free Trade Agreement;2002;;;;;;Bilateral;Extra
Taipei,China;2;United States ;6;Taipei,China-United States Free Trade Agreement;2002;;;;;;Bilateral;Extra
Peru;6;Thailand;3;Thailand-Peru Free Trade Agreement;2002;2004;;2010;2011;;Bilateral;Extra
Thailand;3;Peru;6;Thailand-Peru Free Trade Agreement;2002;2004;;2010;2011;;Bilateral;Extra
Brunei Darussalam;3;Singapore;3;Trans-Pacific Strategic Economic Partnership Agreement;2002;;2003;2005;2006;;Plurilateral;Intra
Singapore;3;Brunei Darussalam;3;Trans-Pacific Strategic Economic Partnership Agreement;2002;;2003;2005;2006;;Plurilateral;Intra
Brunei Darussalam;3;New Zealand;7;Trans-Pacific Strategic Economic Partnership Agreement;2002;;2003;2005;2006;;Plurilateral;Intra
Singapore;3;New Zealand;7;Trans-Pacific Strategic Economic Partnership Agreement;2002;;2003;2005;2006;;Plurilateral;Intra
New Zealand;7;Brunei Darussalam;3;Trans-Pacific Strategic Economic Partnership Agreement;2002;;2003;2005;2006;;Plurilateral;Intra
New Zealand;7;Singapore;3;Trans-Pacific Strategic Economic Partnership Agreement;2002;;2003;2005;2006;;Plurilateral;Intra
Chile;6;Brunei Darussalam;3;Trans-Pacific Strategic Economic Partnership Agreement;2002;;2003;2005;2006;;Plurilateral;Extra
Chile;6;Singapore;3;Trans-Pacific Strategic Economic Partnership Agreement;2002;;2003;2005;2006;;Plurilateral;Extra
Chile;6;New Zealand;7;Trans-Pacific Strategic Economic Partnership Agreement;2002;;2003;2005;2006;;Plurilateral;Extra
Brunei Darussalam;3;Chile;6;Trans-Pacific Strategic Economic Partnership Agreement;2002;;2003;2005;2006;;Plurilateral;Extra
Singapore;3;Chile;6;Trans-Pacific Strategic Economic Partnership Agreement;2002;;2003;2005;2006;;Plurilateral;Extra
New Zealand;7;Chile;6;Trans-Pacific Strategic Economic Partnership Agreement;2002;;2003;2005;2006;;Plurilateral;Extra
China, People's Republic of;2;India;5;India-People's Republic of China Regional Trading Agreement;2003;;;;;;Bilateral;Intra
India;5;China, People's Republic of;2;India-People's Republic of China Regional Trading Agreement;2003;;;;;;Bilateral;Intra
